CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (uM),IC50 (uM),Amax,ActArea
MDAMB415_BREAST,MDA-MB-415,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-14,-8.5,-69,-77,-84,-85,-92,-85","23.8,39.1,3.00,1.70,.60,10.2,15.2,1.23",8,Sigmoid,0.0206032,0.018407384,-82.0868454,3.8425
MDAMB436_BREAST,MDA-MB-436,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-2.2,8.65,-14,-31,-45,-44,-47,-45","9.15,2.45,5.88,1.08,10.6,3.87,8.74,6.10",8,Sigmoid,0.041530512,8,-45.43484497,2.2556
MDAMB453_BREAST,MDA-MB-453,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-32,-5.2,-80,-96,-98,-97,-96,-95","4.71,2.28,1.43,.91,1.19,.24,.26,.14",8,Sigmoid,0.01410364,0.015530476,-96.45956421,5.5367
MDAMB468_BREAST,MDA-MB-468,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","1.27,8.78,-8.7,-8.3,-30,-60,-56,-59","27.3,14.5,8.03,.17,10.4,6.78,1.66,3.68",8,Sigmoid,0.265800059,0.367030263,-58.30907059,2.575
SKBR3_BREAST,SK-BR-3,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","10.2,-34,-43,-56,-48,-60,-50,-65","4.85,4.77,5.24,1.48,11.5,1.76,5.64,6.58",8,Sigmoid,5.848574721,0.036554132,-56.31596756,3.3439
T47D_BREAST,T-47D,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","8.23,-.69,1.93,7.79,-6.2,-22,-59,-65","8.49,1.04,14.7,28.5,5.24,11.2,3.16,6.98",8,Sigmoid,1.037528276,1.789526105,-66.33282471,1.4674
UACC812_BREAST,UACC-812,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-23,-32,-24,-43,-66,-59,-74,-66","20.0,22.2,51.6,36.2,6.87,15.9,28.2,31.1",8,Sigmoid,0.192266747,0.200488731,-86.43447113,3.1346
ZR751_BREAST,ZR-75-1,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","2.13,-14,-47,-61,-81,-86,-92,-84","43.2,21.2,25.0,13.9,12.6,2.49,13.3,8.20",8,Linear,NA,0.327225992,-91.02919769,4.4719
ZR7530_BREAST,ZR-75-30,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","9.03,-16,-8.5,-47,-61,-61,-46,-63","48.1,21.0,26.1,8.43,10.7,2.09,9.19,.92",8,Sigmoid,0.069838338,0.086871609,-59.09033203,2.3161
AU565_BREAST,AU565,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","15.3,5.67,7.83,3.45,-12,-5.9,-20,-43","20.4,4.88,21.4,12.2,16.7,3.44,9.70,1.59",8,Sigmoid,9.06517521,8,-40.80118561,0.7651
BT20_BREAST,BT-20,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","15.8,-6.9,11.6,16.1,34.8,-15,15.4,-42","42.0,1.90,9.67,17.9,17.7,10.3,2.64,27.5",8,Constant,NA,8,4.686542511,0.5273
BT474_BREAST,BT-474,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.7,12.4,-8.8,30.4,-21,6.14,-23,-43","10.4,13.8,.26,9.54,.24,1.67,10.9,0",8,Constant,NA,8,-8.659574509,0.7015
BT549_BREAST,BT-549,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","7.82,8.11,11.0,-2.3,16.4,-18,-16,-72","12.9,6.30,.61,8.91,9.55,9.31,3.39,3.16",8,Sigmoid,8.566682322,5.445250988,-71.2052536,1.0007
CAL851_BREAST,CAL-85-1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","6.79,17.3,-13,5.14,-16,-24,-53,-67","3.78,20.1,13.8,4.60,16.2,2.61,7.73,1.33",8,Sigmoid,1.197646022,2.28115654,-67.47483063,1.3703
CAMA1_BREAST,CAMA-1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","10.9,-7.2,7.19,-6.8,-9.7,.84,-18,-37","4.08,13.5,3.49,4.17,.94,3.16,7.92,7.39",8,Sigmoid,8.431911715,8,-36.68119431,0.4276
EFM19_BREAST,EFM-19,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","5.16,7.03,-6.2,.52,3.43,-19,-19,-44","21.6,8.82,1.62,7.34,5.76,18.4,12.1,2.87",8,Sigmoid,8.934178233,8,-42.89850998,0.7541
