CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (uM),IC50 (uM),Amax,ActArea
T47D_BREAST,T-47D,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.6,-.94,13.6,-3.5,27.5,-3.7,-13,-46","30.2,6.15,27.4,13.6,8.43,15.2,3.18,3.25",8,Sigmoid,4.739023685,8,-45.5904808,0.5592
UACC812_BREAST,UACC-812,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-.024,-8.9,12.1,7.30,9.09,-7.5,-13,-58","11.8,14.0,2.38,20.2,11.0,16.2,31.6,39.3",8,Sigmoid,8.25090714,3.755201817,-84.01983643,0.6199
ZR751_BREAST,ZR-75-1,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","59.9,-30,3.29,-24,18.0,-10,11.3,-39","14.4,11.3,11.6,24.8,28.2,2.07,16.8,2.62",8,Linear,NA,8,-36.41096878,1.1688
ZR7530_BREAST,ZR-75-30,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-.76,19.7,7.49,14.2,19.8,28.2,-2.8,-6.2","19.3,24.5,9.11,9.15,13.3,19.5,.26,50.8",8,Constant,NA,8,11.53612137,0
AU565_BREAST,AU565,AZD6244,MEK,".0080,.025,.080,.25,.80,2.53,8","-2.5,-4.2,5.97,10.8,15.4,11.3,12.4","9.86,12.8,7.65,11.6,15.6,11.4,3.05",7,Constant,NA,8,4.667366028,0.09979
BT20_BREAST,BT-20,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.3,-.28,10.9,6.74,11.5,-11,-1.3,-4.2","25.8,18.6,15.3,15.0,6.85,1.30,1.87,5.42",8,Constant,NA,8,-0.317550689,0.01832
BT474_BREAST,BT-474,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.7,-19,-11,-7.6,2.35,2.61,-4.6,.74","4.75,30.3,7.70,1.51,16.8,10.5,11.5,21.5",8,Constant,NA,8,-6.134223938,0.1287
BT549_BREAST,BT-549,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-.089,-18,9.51,-8.3,8.75,-15,-7.1,-9.6","3.80,1.00,13.6,8.94,5.27,1.59,20.5,13.3",8,Constant,NA,8,-2.473997831,0.2601
CAL851_BREAST,CAL-85-1,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-4.6,-6.9,-3.7,-17,-36,-34,-40,-67","5.12,13.0,6.89,17.6,3.78,.046,3.51,7.99",8,Sigmoid,8.430301747,3.014279604,-63.81671143,1.7048
CAMA1_BREAST,CAMA-1,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-7.7,-1.5,-6.8,-9.4,-7.2,3.55,-9.8,-1.5",".12,6.50,8.49,5.91,1.59,4.67,4.40,8.69",8,Constant,NA,8,-6.486790657,0.06316
EFM19_BREAST,EFM-19,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","10.7,6.58,-8.8,5.79,.88,11.6,10.1,14.4","4.74,.26,15.9,11.5,20.5,13.5,10.6,13.7",8,Constant,NA,8,6.579556465,0.0802
HCC1187_BREAST,HCC1187,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-6.9,-14,10.2,-14,1.13,-14,-13,-23","3.00,10.9,3.62,2.13,24.4,.19,19.6,2.63",8,Constant,NA,8,-12.9724617,0.4582
HCC1395_BREAST,HCC1395,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","6.92,23.1,-18,-22,8.98,-5.0,-.34,-21","21.0,1.70,2.73,14.5,10.2,.39,6.08,3.20",8,Constant,NA,8,-5.003770828,0.6753
HCC1569_BREAST,HCC1569,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.2,-.45,12.6,.34,-3.2,-11,2.76,-9.9","6.97,22.1,3.80,4.32,.53,1.94,2.91,3.63",8,Constant,NA,8,-3.208449364,0
HCC1806_BREAST,HCC1806,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-.32,-5.3,-14,-19,-29,-34,-48,-38","5.62,7.88,11.3,8.95,11.6,21.3,.29,7.97",8,Sigmoid,0.08744017,8,-43.23558044,1.6198
HCC1954_BREAST,HCC1954,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.9,2.20,-12,4.56,-18,-12,-21,-32",".76,9.6e-4,34.2,2.21,7.20,5.86,.42,6.05",8,Constant,NA,8,-10.6373682,0.9032
HCC70_BREAST,HCC70,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-16,-9.0,3.64,-16,-19,-19,-7.7,-35","14.6,10.2,7.70,11.4,26.1,27.4,47.3,29.3",8,Sigmoid,0.125415251,8,-46.66360855,1.2257
HDQP1_BREAST,HDQ-P1,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-13,-13,-3.3,-12,-26,-16,-43,-38","5.57,7.35,9.25,19.7,3.74,11.5,11.2,9.14",8,Sigmoid,0.74307102,8,-39.95902634,1.4415
HMC18_BREAST,HMC-1-8,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-20,-12,-18,-34,-51,-57,-63,-68",".083,1.93,2.99,2.40,.65,.28,.0049,3.66",8,Sigmoid,0.127403423,0.254361957,-64.56193542,2.9909
HS578T_BREAST,Hs 578T,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","1.57,-8.4,-6.4,-5.9,-13,-10,-22,-18","5.42,1.99,14.1,7.89,3.32,4.05,5.99,3.98",8,Constant,NA,8,-10.89676189,0.2979
HS739T_BREAST,Hs 739.T,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","11.1,2.19,-2.0,-12,-.99,4.71,.32,-7.2","12.6,2.75,3.88,5.45,11.8,9.90,3.44,17.6",8,Constant,NA,8,0.44869858,0.3088
MB157_BREAST,MB 157,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-15,-2.5,-30,-9.6,-40,-23,-29,-33","15.4,11.1,1.40,8.16,6.54,9.84,4.56,1.42",8,Constant,NA,8,-27.69962883,2.2122
MCF7_BREAST,MCF7,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-24,.30,-54,10.4,-29,-24,-32,-2.5","37.0,18.4,31.3,26.5,23.5,11.8,10.3,15.3",8,Constant,NA,8,-14.46367168,0.5816
MDAMB157_BREAST,MDA-MB-157,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.0,-2.9,6.03,-3.9,-13,-5.8,-12,-17","16.7,14.6,3.95,12.9,5.28,9.93,31.1,1.70",8,Constant,NA,8,-10.87219334,0.6353
MDAMB175VII_BREAST,MDA-MB-175-VII,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.8,-1.3,-11,-.80,4.28,-7.0,-16,-29","10.8,6.12,13.7,2.31,1.43,.46,1.43,.21",8,Sigmoid,2.984814882,8,-28.85728836,0.7065
MDAMB415_BREAST,MDA-MB-415,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-13,-2.3,-5.0,-9.9,-2.8,8.78,-12,1.21","15.5,.32,3.81,11.5,10.4,30.3,28.4,2.76",8,Constant,NA,8,-2.449921131,0.3868
MDAMB436_BREAST,MDA-MB-436,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-9.1,4.03,-15,-3.0,-2.4,-7.8,-13,-21",".68,6.29,23.2,12.3,12.9,13.6,2.41,1.92",8,Constant,NA,8,-10.26598167,0.8398
MDAMB453_BREAST,MDA-MB-453,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.0,-1.4,3.99,21.5,18.8,16.5,5.36,-14","6.60,6.46,15.1,4.29,1.99,12.8,13.2,2.24",8,Sigmoid,5.353428841,8,-13.83815002,0
MDAMB468_BREAST,MDA-MB-468,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-9.9,21.2,-26,-9.0,-14,-.078,-24,-21","15.4,9.11,12.3,26.2,7.74,33.0,1.39,24.9",8,Constant,NA,8,-18.53924751,0.9323
SKBR3_BREAST,SK-BR-3,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.8,4.43,-5.1,18.6,2.59,15.2,16.6,20.3","27.0,26.6,17.8,25.0,18.6,36.2,21.1,15.3",8,Constant,NA,8,8.363933563,0
T47D_BREAST,T-47D,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8",".76,-5.4,-8.1,17.4,-15,-2.5,-17,-7.4","2.39,12.4,13.1,13.9,2.42,11.0,8.17,1.03",8,Constant,NA,8,-7.351501465,0.6917
UACC812_BREAST,UACC-812,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-17,-4.7,-7.4,-18,-28,-15,-33,-38","12.5,24.2,13.3,14.2,27.3,19.9,48.2,43.4",8,Constant,NA,8,-2.037965059,0.9361
ZR751_BREAST,ZR-75-1,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-10,-15,2.50,12.6,-4.8,-12,-9.2,-28","4.40,10.6,9.17,2.02,.40,17.7,5.29,6.93",8,Sigmoid,8.176895438,8,-27.31182861,0.7315
ZR7530_BREAST,ZR-75-30,AZD6244,MEK,".0025,.0080,.025,.080,.25,.80,2.53,8","-19,40.7,5.31,23.3,26.1,50.9,35.8,51.0","10.7,11.4,5.57,30.6,19.8,12.8,3.00,24.9",8,Linear,NA,8,-16.49059677,0.04301
AU565_BREAST,AU565,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8",".21,7.26,-4.0,14.6,-.22,18.1,-9.7,-44","8.54,14.8,11.3,16.0,11.9,.66,11.1,.16",8,Sigmoid,2.978539467,8,-43.89791107,0.491
BT20_BREAST,BT-20,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-14,2.38,-13,11.3,-35,5.03,-43,-43","20.1,.75,11.3,31.7,6.55,2.03,10.3,13.7",8,Constant,NA,8,-15.24391079,1.3084
BT474_BREAST,BT-474,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","18.0,11.3,-.93,16.6,31.2,-.70,-23,-30","27.3,14.1,4.47,22.1,15.6,2.27,8.09,6.06",8,Sigmoid,0.981348634,8,-27.10237503,0.3156
BT549_BREAST,BT-549,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","14.6,5.54,17.1,1.92,2.82,-9.5,-1.7,-23","9.45,13.8,4.79,2.70,31.6,20.6,17.9,3.84",8,Constant,NA,8,3.977365732,0.2467
CAL851_BREAST,CAL-85-1,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-.46,-19,1.87,-10,-36,-44,-62,-73","3.40,10.5,12.9,20.8,4.25,12.6,3.78,1.36",8,Sigmoid,0.578028142,0.870514452,-73.22431183,2.0234
CAMA1_BREAST,CAMA-1,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8",".68,12.1,3.84,10.5,1.32,5.73,-8.9,-6.7","4.04,21.4,20.9,5.74,1.16,7.25,32.6,12.1",8,Constant,NA,8,1.737449884,0.003827
EFM19_BREAST,EFM-19,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","7.50,-7.5,4.72,.77,-1.6,2.34,10.2,-15","5.69,.80,.71,3.37,2.53,9.11,12.4,20.8",8,Constant,NA,8,1.025663733,0.09867
HCC1187_BREAST,HCC1187,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8",".52,-14,5.03,-.67,-6.1,-3.7,-29,-7.6","11.1,.69,.32,1.85,11.3,4.53,6.53,3.61",8,Constant,NA,8,-5.974428654,0.1981
HCC1395_BREAST,HCC1395,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","24.3,-5.7,19.2,-6.0,8.18,9.41,-13,-33","11.7,9.23,18.9,4.54,12.1,9.77,7.60,7.45",8,Sigmoid,8.338648497,8,-33.78575516,0.5515
HCC1569_BREAST,HCC1569,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","20.0,-9.6,-11,-5.3,8.90,4.94,4.78,-20","8.08,10.2,10.8,21.1,9.70,7.37,13.1,4.82",8,Linear,NA,8,-19.11942291,0.1893
HCC1806_BREAST,HCC1806,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-18,20.7,-26,11.0,-33,-15,-58,-68","6.56,16.3,13.8,17.2,3.37,2.06,2.97,5.03",8,Sigmoid,1.954791307,2.15597558,-68.43061829,2.1
HCC1954_BREAST,HCC1954,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","5.60,16.0,-12,-.76,-.066,-10,-40,-52","7.83,4.65,3.92,8.47,6.83,3.75,1.80,4.52",8,Sigmoid,1.433703661,5.570298195,-52.21885681,0.8402
HCC70_BREAST,HCC70,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","1.37,11.3,7.50,5.82,-14,-17,-15,-26","10.1,6.85,14.6,12.0,14.3,8.28,16.3,13.4",8,Constant,NA,8,5.798483372,0.3408
HDQP1_BREAST,HDQ-P1,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-2.9,4.91,9.39,13.8,-43,-23,-46,-53","14.1,23.1,21.1,15.7,10.2,6.23,11.9,4.70",8,Sigmoid,0.154859424,8,-42.78325272,1.6374
HMC18_BREAST,HMC-1-8,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","2.26,.66,-1.4,1.38,.0037,-2.4,-7.2,-7.6","14.5,3.68,7.69,1.87,9.28,1.06,10.2,8.26",8,Constant,NA,8,-1.763302565,0.3479
HS578T_BREAST,Hs 578T,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","4.67,5.83,1.42,-2.5,11.9,1.85,-2.5,-13","2.50,5.67,.30,.27,6.02,7.73,1.06,8.57",8,Constant,NA,8,1.417373419,0.05836
HS739T_BREAST,Hs 739.T,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.9,4.03,2.86,14.2,-9.3,8.86,.76,-1.6","13.9,4.23,27.7,1.99,9.60,16.5,18.9,5.97",8,Constant,NA,8,0.772566915,0.2265
MB157_BREAST,MB 157,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","14.5,15.3,22.7,64.1,1.62,-30,-36,-30","2.69,17.0,15.2,10.4,4.06,9.19,10.3,11.5",8,Sigmoid,0.295364827,8,-32.06905365,1.4358
MCF7_BREAST,MCF7,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-30,56.0,37.2,35.4,-12,24.5,-23,-31","9.30,13.8,5.39,27.2,12.6,24.6,42.4,35.3",8,Linear,NA,8,-34.25540924,0.3573
MDAMB157_BREAST,MDA-MB-157,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","5.79,4.47,18.0,-4.8,11.2,2.59,4.94,-22","8.71,12.2,3.89,17.8,1.21,19.4,1.56,11.6",8,Constant,NA,8,6.50525856,0.2684
MDAMB175VII_BREAST,MDA-MB-175-VII,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-2.5,22.1,6.58,6.44,-11,-12,-57,-77",".067,7.96,5.65,29.2,9.41,5.72,19.4,11.2",8,Sigmoid,1.857569337,2.391020775,-77.70800018,1.1964
MDAMB415_BREAST,MDA-MB-415,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","3.33,3.86,-5.5,27.4,3.94,8.22,-5.1,-12","6.85,13.0,17.4,9.37,6.24,1.98,11.9,5.74",8,Constant,NA,8,4.483168602,0.03477
MDAMB436_BREAST,MDA-MB-436,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-6.5,1.97,-17,8.78,-5.0,-8.0,-17,-16","4.55,8.69,5.73,3.66,3.12,5.38,3.71,4.50",8,Constant,NA,8,-8.276685715,0.4275
MDAMB453_BREAST,MDA-MB-453,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-.89,-6.6,16.6,-7.3,-.57,-1.2,-7.7,-25","14.0,7.32,1.33,12.4,1.57,20.9,3.66,6.15",8,Constant,NA,8,-3.528245211,0.1473
MDAMB468_BREAST,MDA-MB-468,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","17.5,-10.0,16.9,-30,-3.1,-52,-37,-73","18.7,26.0,15.1,5.46,.37,3.55,2.78,6.82",8,Linear,NA,1.153329258,-70.51806641,1.8648
SKBR3_BREAST,SK-BR-3,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","1.68,10.1,-.24,4.15,-6.8,14.3,-28,-32","2.02,10.3,2.95,16.8,15.1,30.1,10.5,1.92",8,Sigmoid,1.055330515,8,-32.13349915,0.6481
T47D_BREAST,T-47D,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.4,.57,-2.8,-6.7,-4.2,-11,-10.0,-12","5.02,23.8,26.3,1.14,19.6,12.9,15.3,17.3",8,Constant,NA,8,-6.683815479,0.1791
UACC812_BREAST,UACC-812,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","10.7,14.4,-15,12.7,9.02,14.9,-13,-43","17.1,35.3,24.8,26.3,30.8,25.5,51.0,42.1",8,Linear,NA,0.912124534,-71.85778046,0.4433
ZR751_BREAST,ZR-75-1,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","39.3,-25,31.8,25.5,10.6,-37,-22,-37","38.8,7.84,7.22,3.57,.86,23.7,18.6,8.01",8,Linear,NA,8,-34.83546066,1.1717
ZR7530_BREAST,ZR-75-30,Erlotinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-23,9.04,8.59,26.0,17.9,12.1,-11,-22","15.7,1.31,1.58,22.9,26.8,23.5,32.8,19.9",8,Linear,NA,8,-22.0538826,0.03998
BT20_BREAST,BT-20,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,-2.7,4.81,4.88,-45,-74,-79,-70","2.36,1.00,24.1,.18,17.0,8.94,8.09,5.80",8,Sigmoid,0.235477388,0.269114286,-74.45292664,2.4196
BT549_BREAST,BT-549,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","6.68,1.22,-1.9,-31,-61,-82,-92,-91","7.70,.60,23.2,22.5,3.33,5.28,.025,1.56",8,Sigmoid,0.082267649,0.124761164,-93.22213745,3.4086
CAL851_BREAST,CAL-85-1,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","15.4,26.3,.91,-23,-53,-68,-74,-84","5.82,41.2,1.43,2.93,13.8,8.07,7.22,3.33",8,Sigmoid,0.127690107,0.262406975,-81.72575378,2.8611
CAMA1_BREAST,CAMA-1,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-6.3,-5.6,-15,-25,-36,-66,-93,-99","12.7,5.19,6.50,4.36,14.8,27.6,10.8,3.40",8,Sigmoid,0.45428282,0.345670938,-100.8462982,3.1566
EFM19_BREAST,EFM-19,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.6,.50,-9.3,-11,-24,-43,-81,-100","26.7,11.2,3.59,3.62,14.7,6.11,5.42,1.98",8,Sigmoid,1.295749307,0.922290325,-101.1970367,2.2524
HCC1569_BREAST,HCC1569,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-17,-2.7,-6.0,-6.0,-25,-51,-85,-94","17.0,32.8,5.01,.74,6.15,7.74,2.37,.89",8,Sigmoid,0.769925237,0.723442316,-94.99716187,2.4213
HCC70_BREAST,HCC70,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-4.6,-9.5,13.5,-32,-54,-58,-86,-93","4.07,10.9,7.98,34.7,50.9,25.1,4.95,1.83",8,Sigmoid,0.075725049,0.075391009,-84.70466614,2.2185
HDQP1_BREAST,HDQ-P1,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-2.0,-14,10.7,-1.2,-83,-95,-94,-96","4.61,16.6,2.66,.94,.80,.25,.62,.30",8,Sigmoid,0.17001155,0.174632937,-95.0306015,3.8757
HMC18_BREAST,HMC-1-8,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-9.1,2.65,-1.6,-.11,-32,-52,-61,-68","1.59,1.53,2.34,2.52,11.0,.73,2.35,2.13",8,Sigmoid,0.363111973,0.704123199,-65.07875824,1.7798
HS739T_BREAST,Hs 739.T,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","2.10,-2.8,-11,-18,-14,-28,-56,-56","7.38,15.5,13.0,9.46,4.32,12.3,1.71,7.47",8,Sigmoid,0.970893502,2.83324337,-59.37891388,2.0158
MB157_BREAST,MB 157,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","11.4,-12,-4.4,-30,-66,-79,-90,-95","19.9,5.66,.27,12.5,13.7,1.92,3.68,.16",8,Sigmoid,0.209060892,0.220516041,-92.82630157,3.8806
MCF7_BREAST,MCF7,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-26,15.0,-26,-1.3,-45,-71,-93,-118","27.5,15.2,67.1,1.90,13.9,3.89,7.87,17.8",8,Sigmoid,0.420637161,0.402109355,-111.4357452,1.7724
MDAMB453_BREAST,MDA-MB-453,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","1.58,-17,3.93,-42,-72,-98,-100,-99","22.4,3.68,8.01,1.93,.70,1.65,.95,.58",8,Sigmoid,0.144482166,0.111045882,-101.0029526,3.9137
MDAMB468_BREAST,MDA-MB-468,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-28,2.52,-27,-21,-68,-91,-94,-91","13.1,5.03,24.2,5.55,8.10,1.60,.97,.52",8,Sigmoid,0.15765813,0.164094135,-93.24908447,3.8767
SKBR3_BREAST,SK-BR-3,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-7.8,-13,-23,-65,-81,-88,-94,-96","7.22,34.1,2.92,8.99,.47,6.86,1.25,.86",8,Sigmoid,0.065722138,0.066147186,-94.08628845,4.3951
UACC812_BREAST,UACC-812,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","-21,9.62,3.52,-2.5,-25,-27,-66,-99","22.9,13.5,5.58,18.9,12.6,19.2,10.9,9.85",8,Sigmoid,8.880951293,1.588083982,-95.71607971,1.7327
ZR7530_BREAST,ZR-75-30,Irinotecan,TOP1,".0025,.0080,.025,.080,.25,.80,2.53,8","7.98,5.60,9.77,-23,-26,-36,-52,-94","12.2,13.6,11.3,23.5,20.0,4.07,37.4,10.6",8,Sigmoid,8.936686007,1.559987545,-90.11998749,1.6931
AU565_BREAST,AU565,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","3.14,18.4,12.4,3.09,5.41,5.44,-37,-56","20.4,19.4,20.6,6.92,4.04,23.7,44.4,50.4",8,Linear,NA,3.060067905,-57.20409775,0.8391
BT20_BREAST,BT-20,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","3.74,10.4,5.67,13.2,7.69,14.1,6.16,-41","8.30,23.6,5.55,1.60,15.6,29.0,33.7,17.3",8,Sigmoid,4.606862068,8,-41.36987686,0.2981
BT474_BREAST,BT-474,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","15.3,-12,-2.8,1.78,11.1,8.85,1.47,-88","10.9,1.47,8.64,19.2,2.46,3.61,1.45,6.28",8,Sigmoid,4.164809704,4.468088627,-87.94115448,0.7397
BT549_BREAST,BT-549,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","8.04,7.31,-1.5,8.06,6.86,5.51,3.49,-17","1.94,11.7,2.57,12.8,2.80,9.27,22.8,10.0",8,Constant,NA,8,2.587536573,0.1532
CAL851_BREAST,CAL-85-1,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","3.83,-13,2.33,17.9,22.2,17.5,21.7,5.27","1.76,5.50,5.48,34.5,.81,20.2,12.7,4.00",8,Linear,NA,8,-12.20853901,0.09294
CAMA1_BREAST,CAMA-1,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","11.6,4.99,13.8,8.18,13.6,5.49,-2.8,-65",".65,15.9,14.6,7.28,10.4,17.5,.60,8.45",8,Sigmoid,8.021945844,6.585441589,-65.07580566,0.5617
EFM19_BREAST,EFM-19,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8",".026,-6.8,-5.6,8.48,.058,.63,-1.5,-23","9.63,20.7,7.83,1.28,16.8,12.8,11.6,6.19",8,Constant,NA,8,-3.379374504,0.2789
HCC1187_BREAST,HCC1187,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","-.51,9.29,8.78,5.65,-.43,-64,-89,-83","5.29,2.85,7.02,13.6,5.75,7.61,.45,.36",8,Sigmoid,0.564342201,0.643675327,-86.27674866,2.2908
HCC1395_BREAST,HCC1395,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","16.9,19.3,13.7,9.64,23.1,5.19,-21,-23","4.33,.37,12.0,21.1,15.6,20.0,4.42,4.14",8,Sigmoid,1.031255603,8,-23.3744278,0.4006
HCC1569_BREAST,HCC1569,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","11.4,3.05,13.7,-6.5,3.86,5.76,1.56,1.26","37.3,13.0,18.9,11.1,11.6,9.84,2.23,13.0",8,Constant,NA,8,1.009193182,0
HCC1806_BREAST,HCC1806,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","14.2,1.78,18.9,14.4,12.1,8.91,15.8,-30","4.19,12.9,2.94,23.1,16.9,11.5,7.35,6.67",8,Sigmoid,7.753481865,8,-30.36118889,0.2743
HCC1954_BREAST,HCC1954,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","5.06,2.11,19.2,-1.00,22.2,9.38,20.3,-19","3.78,6.54,17.2,21.0,1.30,8.41,1.45,6.40",8,Constant,NA,8,7.66637516,0.09828
HCC70_BREAST,HCC70,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.2,6.24,-8.9,.70,5.50,-1.5,-2.1,2.80","3.42,3.17,8.44,2.05,9.73,18.6,2.01,22.0",8,Constant,NA,8,-1.667706251,0
HDQP1_BREAST,HDQ-P1,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","10.4,1.14,1.24,.89,-5.8,4.97,-17,-31","11.7,.79,16.6,13.8,8.06,10.4,.68,58.2",8,Constant,NA,8,0.096565299,2.4531
HMC18_BREAST,HMC-1-8,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","11.1,.52,7.48,-2.2,8.97,1.05,2.41,-13","1.59,1.68,3.30,4.37,4.00,1.42,.79,.12",8,Constant,NA,8,1.936190248,0
HS578T_BREAST,Hs 578T,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8","3.38,.79,-9.5,-.14,4.50,-3.0,6.18,-5.1","3.37,5.44,15.9,10.6,1.83,3.09,6.53,5.82",8,Constant,NA,8,1.114752889,0
HS739T_BREAST,Hs 739.T,L-685458,GS,".0025,.0080,.025,.080,.25,.80,2.53,8",".87,5.86,1.20,8.61,-8.3,-7.6,-.22,10.2","19.6,2.54,14.1,4.69,9.87,.19,7.50,14.5",8,Constant,NA,8,2.364588261,0.4653
