"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"match_id"
"HCC1937_BREAST"	"HCC1937"	NA	"cosmic_clp"	"breast"	"HCC1937"
"HCC1937_BREAST"	"HCC1937"	"749714"	"gdsc"	"breast"	"HCC1937"
"HCC1954_BREAST"	"HCC1954_BREAST"	"HCC1954"	"CCLE"	"breast"	"HCC1954"
"HCC1954_BREAST"	"HCC1954"	NA	"cosmic_clp"	"breast"	"HCC1954"
"HCC1954_BREAST"	"HCC1954"	"749709"	"gdsc"	"breast"	"HCC1954"
"HCC202_BREAST"	"HCC202_BREAST"	"HCC202"	"CCLE"	"breast"	"HCC202"
"HCC202_BREAST"	"HCC202"	NA	"cosmic_clp"	"breast"	"HCC202"
"HCC2157_BREAST"	"HCC2157_BREAST"	"HCC2157"	"CCLE"	"breast"	"HCC2157"
"HCC2157_BREAST"	"HCC2157"	NA	"cosmic_clp"	"breast"	"HCC2157"
"HCC2157_BREAST"	"HCC2157"	"749715"	"gdsc"	"breast"	"HCC2157"
"HCC2218_BREAST"	"HCC2218_BREAST"	"HCC2218"	"CCLE"	"breast"	"HCC2218"
"HCC2218_BREAST"	"HCC2218"	NA	"cosmic_clp"	"breast"	"HCC2218"
"HCC2218_BREAST"	"HCC2218"	"749716"	"gdsc"	"breast"	"HCC2218"
"HCC38_BREAST"	"HCC38_BREAST"	"HCC38"	"CCLE"	"breast"	"HCC38"
"HCC38_BREAST"	"HCC38"	NA	"cosmic_clp"	"breast"	"HCC38"
"HCC38_BREAST"	"HCC38"	"749717"	"gdsc"	"breast"	"HCC38"
"HCC70_BREAST"	"HCC70_BREAST"	"HCC70"	"CCLE"	"breast"	"HCC70"
"HCC70_BREAST"	"HCC70"	NA	"cosmic_clp"	"breast"	"HCC70"
"HCC70_BREAST"	"HCC70"	"907048"	"gdsc"	"breast"	"HCC70"
"HCC70_BREAST"	"HCC70"	NA	"eurofins"	"Breast"	"HCC70"
"HDQP1_BREAST"	"HDQP1_BREAST"	"HDQ-P1"	"CCLE"	"breast"	"HDQP1"
"HDQP1_BREAST"	"HDQ-P1"	NA	"cosmic_clp"	"breast"	"HDQP1"
"HMC18_BREAST"	"HMC18_BREAST"	"HMC-1-8"	"CCLE"	"breast"	"HMC18"
"HMEL_BREAST"	"HMEL_BREAST"	"HMEL"	"CCLE"	"breast"	"HMEL"
"HS274T_BREAST"	"HS274T_BREAST"	"Hs 274.T"	"CCLE"	"breast"	"HS274T"
"HS281T_BREAST"	"HS281T_BREAST"	"Hs 281.T"	"CCLE"	"breast"	"HS281T"
"HS343T_BREAST"	"HS343T_BREAST"	"Hs 343.T"	"CCLE"	"breast"	"HS343T"
"HS578T_BREAST"	"HS578T_BREAST"	"Hs 578T"	"CCLE"	"breast"	"HS578T"
"HS578T_BREAST"	"Hs-578-T"	NA	"cosmic_clp"	"breast"	"HS578T"
"HS578T_BREAST"	"Hs-578-T"	"905957"	"gdsc"	"breast"	"HS578T"
"HS578T_BREAST"	"Hs 578T"	NA	"eurofins"	"Breast"	"HS578T"
"HS606T_BREAST"	"HS606T_BREAST"	"Hs 606.T"	"CCLE"	"breast"	"HS606T"
"HS739T_BREAST"	"HS739T_BREAST"	"Hs 739.T"	"CCLE"	"breast"	"HS739T"
"HS742T_BREAST"	"HS742T_BREAST"	"Hs 742.T"	"CCLE"	"breast"	"HS742T"
"JIMT1_BREAST"	"JIMT1_BREAST"	"JIMT-1"	"CCLE"	"breast"	"JIMT1"
"JIMT1_BREAST"	"JIMT-1"	NA	"cosmic_clp"	"breast"	"JIMT1"
"KPL1_BREAST"	"KPL1_BREAST"	"KPL-1"	"CCLE"	"breast"	"KPL1"
"KPL1_BREAST"	"KPL-1"	NA	"eurofins"	"Breast"	"KPL1"
"MB157_BREAST"	"MB157_BREAST"	"MB 157"	"CCLE"	"breast"	"MB157"
"MCF7_BREAST"	"MCF7_BREAST"	"MCF7"	"CCLE"	"breast"	"MCF7"
"MCF7_BREAST"	"MCF7"	NA	"cosmic_clp"	"breast"	"MCF7"
"MCF7_BREAST"	"MCF7"	"905946"	"gdsc"	"breast"	"MCF7"
"MCF7_BREAST"	"MCF7"	NA	"eurofins"	"Breast"	"MCF7"
"MDAMB134VI_BREAST"	"MDAMB134VI_BREAST"	"MDA-MB-134-VI"	"CCLE"	"breast"	"MDAMB134VI"
"MDAMB134VI_BREAST"	"MDA-MB-134-VI"	"908119"	"gdsc"	"breast"	"MDAMB134VI"
"MDAMB157_BREAST"	"MDAMB157_BREAST"	"MDA-MB-157"	"CCLE"	"breast"	"MDAMB157"
"MDAMB157_BREAST"	"MDA-MB-157"	NA	"cosmic_clp"	"breast"	"MDAMB157"
"MDAMB157_BREAST"	"MDA-MB-157"	"925338"	"gdsc"	"breast"	"MDAMB157"
"MDAMB175VII_BREAST"	"MDAMB175VII_BREAST"	"MDA-MB-175-VII"	"CCLE"	"breast"	"MDAMB175VII"
"MDAMB175VII_BREAST"	"MDA-MB-175-VII"	NA	"cosmic_clp"	"breast"	"MDAMB175VII"
"MDAMB175VII_BREAST"	"MDA-MB-175-VII"	"908120"	"gdsc"	"breast"	"MDAMB175VII"
"MDAMB231_BREAST"	"MDAMB231_BREAST"	"MDA-MB-231"	"CCLE"	"breast"	"MDAMB231"
"MDAMB231_BREAST"	"MDA-MB-231"	NA	"cosmic_clp"	"breast"	"MDAMB231"
"MDAMB231_BREAST"	"MDA-MB-231"	"905960"	"gdsc"	"breast"	"MDAMB231"
"MDAMB231_BREAST"	"MDA MB 231"	NA	"eurofins"	"Breast"	"MDAMB231"
"MDAMB330_BREAST"	"MDA-MB-330"	NA	"cosmic_clp"	"breast"	"MDAMB330"
"MDAMB361_BREAST"	"MDAMB361_BREAST"	"MDA-MB-361"	"CCLE"	"breast"	"MDAMB361"
"MDAMB361_BREAST"	"MDA-MB-361"	NA	"cosmic_clp"	"breast"	"MDAMB361"
"MDAMB361_BREAST"	"MDA-MB-361"	"908121"	"gdsc"	"breast"	"MDAMB361"
"MDAMB415_BREAST"	"MDAMB415_BREAST"	"MDA-MB-415"	"CCLE"	"breast"	"MDAMB415"
"MDAMB415_BREAST"	"MDA-MB-415"	NA	"cosmic_clp"	"breast"	"MDAMB415"
"MDAMB415_BREAST"	"MDA-MB-415"	"924240"	"gdsc"	"breast"	"MDAMB415"
"MDAMB415_BREAST"	"MDA-MB-415"	NA	"eurofins"	"Breast"	"MDAMB415"
"MDAMB436_BREAST"	"MDAMB436_BREAST"	"MDA-MB-436"	"CCLE"	"breast"	"MDAMB436"
"MDAMB436_BREAST"	"MDA-MB-436"	NA	"cosmic_clp"	"breast"	"MDAMB436"
"MDAMB436_BREAST"	"MDA-MB-436"	NA	"eurofins"	"Breast"	"MDAMB436"
"MDAMB453_BREAST"	"MDAMB453_BREAST"	"MDA-MB-453"	"CCLE"	"breast"	"MDAMB453"
"MDAMB453_BREAST"	"MDA-MB-453"	NA	"cosmic_clp"	"breast"	"MDAMB453"
"MDAMB453_BREAST"	"MDA-MB-453"	"908122"	"gdsc"	"breast"	"MDAMB453"
"MDAMB453_BREAST"	"MDA MB 453"	NA	"eurofins"	"Breast"	"MDAMB453"
"MDAMB468_BREAST"	"MDAMB468_BREAST"	"MDA-MB-468"	"CCLE"	"breast"	"MDAMB468"
"MDAMB468_BREAST"	"MDA-MB-468"	NA	"cosmic_clp"	"breast"	"MDAMB468"
"MDAMB468_BREAST"	"MDA-MB-468"	"908123"	"gdsc"	"breast"	"MDAMB468"
"MDAMB468_BREAST"	"MDA MB 468"	NA	"eurofins"	"Breast"	"MDAMB468"
"MFM223_BREAST"	"MFM-223"	NA	"cosmic_clp"	"breast"	"MFM223"
"MFM223_BREAST"	"MFM-223"	"910948"	"gdsc"	"breast"	"MFM223"
"MRKNU1_BREAST"	"MRK-nu-1"	NA	"cosmic_clp"	"breast"	"MRKNU1"
"MRKNU1_BREAST"	"MRK-nu-1"	"908151"	"gdsc"	"breast"	"MRKNU1"
