"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"hist_primary"	"hist_secondary"	"match_id"
"NCIH226_LUNG"	"NCI-H226"	"905941"	"gdsc"	"lung"	"lung_NSCLC_squamous_cell_carcinoma"	NA	"NCIH226"
"NCIH2286_LUNG"	"NCIH2286_LUNG"	"NCI-H2286"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH2286"
"NCIH2291_LUNG"	"NCIH2291_LUNG"	"NCI-H2291"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH2291"
"NCIH2291_LUNG"	"NCI-H2291"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH2291"
"NCIH2291_LUNG"	"NCI-H2291"	"724874"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH2291"
"NCIH23_LUNG"	"NCIH23_LUNG"	"NCI-H23"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH23"
"NCIH23_LUNG"	"NCI-H23"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH23"
"NCIH23_LUNG"	"NCI-H23"	"905942"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH23"
"NCIH2342_LUNG"	"NCIH2342_LUNG"	"NCI-H2342"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH2342"
"NCIH2342_LUNG"	"NCI-H2342"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH2342"
"NCIH2342_LUNG"	"NCI-H2342"	"687819"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH2342"
"NCIH2347_LUNG"	"NCIH2347_LUNG"	"NCI-H2347"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH2347"
"NCIH2347_LUNG"	"NCI-H2347"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH2347"
"NCIH2347_LUNG"	"NCI-H2347"	"687820"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH2347"
"NCIH2405_LUNG"	"NCIH2405_LUNG"	"NCI-H2405"	"CCLE"	"lung"	"carcinoma"	"adenocarcinoma"	"NCIH2405"
"NCIH2405_LUNG"	"NCI-H2405"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH2405"
"NCIH2405_LUNG"	"NCI-H2405"	"687821"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"NCIH2405"
"NCIH2444_LUNG"	"NCIH2444_LUNG"	"NCI-H2444"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH2444"
"NCIH2444_LUNG"	"NCI-H2444"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"NCIH2444"
"NCIH250_LUNG"	"NCI-H250"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"NCIH250"
"NCIH250_LUNG"	"NCI-H250"	"924241"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"NCIH250"
"NCIH292_LUNG"	"NCIH292_LUNG"	"NCI-H292"	"CCLE"	"lung"	"carcinoma"	"mucoepidermoid_carcinoma"	"NCIH292"
